plot,year,litter.depth,rest.depth
1002,2010,1.375,60
1003,2010,2.25,94
1004,2010,2.666666667,65
1005,2010,1.875,90.25
1006,2010,2,85.25
1008,2010,2.375,31.75
1009,2010,2.625,101
1010,2010,2.5,101
1012,2010,5.425,101
1013,2010,1.875,25.5
1014,2010,1.5,101
1015,2010,4.125,68
1017,2010,5.375,69.25
1018,2010,2.25,101
1019,2010,2.375,95.5
1021,2010,1.125,59.75
1022,2010,7.5,52.25
1024,2010,8.925,59
1025,2010,3.375,75.5
1026,2010,3.75,64
1028,2010,1.05,79.25
1030,2010,1.975,93.75
1031,2010,3.75,73.25
1033,2010,3.95,61.5
1034,2010,2.875,101
1035,2010,2.3625,101
1038,2010,11.75,101
1039,2010,1.125,101
1040,2010,0.625,52.5
1041,2010,1.25,47.25
1043,2010,2.5,101
1044,2010,1.75,101
1045,2010,3.125,71.25
1047,2010,3.5,18.75
1048,2010,4.25,31.5
1050,2010,5.25,46
1051,2010,2.625,69.75
1052,2010,1.375,101
1053,2010,1.5,101
1054,2010,2,101
1055,2010,0.875,13
1057,2010,2.625,63.75
1058,2010,1.875,101
1060,2010,2.75,42.25
1061,2010,2.625,40.5
1064,2010,3,28
1065,2010,0,101
1066,2010,1.1875,37.625
1067,2010,3.125,101
1068,2010,2.5,33.75
1069,2010,0.5,101
1070,2010,2.875,94
1071,2010,3.375,89.5
1072,2010,4.125,84.25
1073,2010,0.25,25
1074,2010,0,34
1075,2010,0,30.66666667
1077,2010,1.5,48.5
1080,2010,0.375,47.5
1081,2010,3.75,26.5
1082,2010,1.25,39.75
1083,2010,1.625,24.75
1086,2010,1.625,101
1087,2010,1.5,63.25
1089,2010,4.25,40.75
1090,2010,2.875,76.75
1091,2010,1.625,46.75
1092,2010,2,41.25
1093,2010,1,51.75
1094,2010,1.375,101
1097,2010,2.375,39.75
1098,2010,1,85.75
1099,2010,1.875,77.75
1100,2010,5.25,42.75
1136,2010,3.75,39
1376,2010,2.75,44.5
1388,2010,1.875,26
3362,2010,2.75,46.5
3364,2010,2.625,22.5
3365,2010,4.5,45
3367,2010,0,101
3368,2010,0.75,68
3369,2010,2,36.75
3370,2010,2.75,38.25
3376,2010,3.5,60.75
3377,2010,0.875,101
3381,2010,0.875,27.375
3385,2010,1.666666667,46
3386,2010,0.875,11
3389,2010,2.25,101
3396,2010,1.875,46
3409,2010,2.25,68.5
3420,2010,2.125,68.5
3484,2010,2.25,64.25
3596,2010,3.75,33
3668,2010,2.5,37.875
3732,2010,2.75,53
3980,2010,1,79.5
1101,2011,0.95,64
1102,2011,1.25,101
1103,2011,0.1875,101
1104,2011,0,101
1105,2011,2.5625,78.25
1110,2011,1.8125,96.5
1111,2011,2.875,19
1112,2011,0.3,64.5
1113,2011,4.5625,59.25
1114,2011,3.35,101
1115,2011,4.375,70.75
1116,2011,0,101
1117,2011,3.175,54
1122,2011,1.5,69.75
1124,2011,0.95,89.25
1125,2011,2.5625,89.75
1126,2011,0.475,86.75
1127,2011,9.9625,67.25
1128,2011,1.925,51.25
1129,2011,2.7,58.25
1131,2011,2.175,98.75
1132,2011,2.4,20
1134,2011,2,46.75
1135,2011,0.45,33.75
1140,2011,3.8,75
1141,2011,0,53.75
1143,2011,3.5625,42.5
1144,2011,3.05,38.75
1145,2011,4.6875,64
1146,2011,1.6,35
1147,2011,3.125,75.75
1148,2011,5.125,24
1149,2011,0.9,25.5
1150,2011,3.375,63.5
1151,2011,4.0625,32.25
1153,2011,3.15,39
1154,2011,2.6875,101
1155,2011,1.875,22
1156,2011,0,101
1157,2011,1.925,68
1159,2011,1.875,37.75
1161,2011,5.425,52.75
1164,2011,1.35,51.5
1166,2011,0,101
1167,2011,0.0625,51
1168,2011,0,101
1169,2011,1.525,76.25
1171,2011,1.075,54.25
1173,2011,0,78.5
1174,2011,0,67.75
1175,2011,1.825,46
1176,2011,3.9375,56.75
1177,2011,0,101
1178,2011,4.675,59.5
1179,2011,0,41.75
1180,2011,0,101
1182,2011,1.625,51.75
1183,2011,0.625,25.75
1184,2011,4.8,63.75
1187,2011,1.6625,70
1189,2011,1.5625,94.5
1190,2011,0,101
1191,2011,1.425,52.5
1192,2011,1.625,53.75
1194,2011,1.0625,66.5
1195,2011,1.1875,49.75
1196,2011,0.275,37.5
1197,2011,1.4625,59.75
1198,2011,0.75,59.5
1199,2011,2.1875,90.5
1200,2011,2,57.25
3372,2011,2.625,53.25
3374,2011,3.5,18.25
3378,2011,0,101
3382,2011,2.5625,54
3387,2011,0,101
3394,2011,1.2,54.25
3400,2011,4.9375,78
3406,2011,4.425,88.25
3411,2011,0,101
3413,2011,7.575,45.75
3415,2011,2.275,101
3417,2011,1.625,41.5
3425,2011,2.4,101
3435,2011,0,48.5
3459,2011,0,101
